anime_title,description,anilist_id,tag_names
カウボーイビバップ,"Enter a world in the distant future, where Bounty Hunters roam the solar system. Spike and Jet, bounty hunting partners, set out on journeys in an ever struggling effort to win bounty rewards to survive.<br><br>nWhile traveling, they meet up with other very interesting people. Could Faye, the beautiful and ridiculously poor gambler, Edward, the computer genius, and Ein, the engineered dog be a good addition to the group?",1,"Amnesia, Anti-Hero, Circus, Cowboys, Crime, Cult, Cyberpunk, Cyborg, Drugs, Ensemble Cast, Episodic, Female Protagonist, Found Family, Gambling, Guns, Heterosexual, Male Protagonist, Martial Arts, Noir, Nudity, Philosophy, Police, Primarily Adult Cast, Space, Tanned Skin, Terrorism, Tomboy, Tragedy, Travel, Yakuza"
TRIGUN,"Vash the Stampede is a wanted man with a habit of turning entire towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt - and it's never Vash.<br>n<br>nOddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on - Vash the Stampede definitely ain't your typical outlaw.<br>n<br>n(Source: Funimation)",6,"Aliens, Body Horror, Crime, Desert, Episodic, Fugitive, Guns, Incest, Male Protagonist, Philosophy, Post-Apocalyptic, Primarily Adult Cast, Religion, Shounen, Slapstick, Space, Steampunk, Tragedy, Travel, Twins"
Witch Hunter ROBIN,"Robin Sena is a powerful craft user drafted into the STNJ - a group of specialized hunters that fight deadly beings known as Witches. Though her fire power is great, she’s got a lot to learn about her powers and working with her cool and aloof partner, Amon. But the truth about the Witches and herself will leave Robin on an entirely new path that she never expected!<br>n<br>n(Source: Funimation)",7,"Bar, Conspiracy, Female Protagonist, Fugitive, Kuudere, Magic, Noir, Police, Primarily Adult Cast, Urban Fantasy, Witch"
冒険王ビィト,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ",8,"Shounen, Spearplay, Swordplay"
アイシールド21,"Welcome To the Gridiron of the Damned!   Huge hulking bodies throw themselves at each other, while a tiny lithe body runs between them for the goal!  No, it&rsquo;s not a game of football, it&rsquo;s Sena Kobayakawa trying to evade the monstrous Ha-Ha brothers down the halls of Deimon High School!  But wait!  Sena&rsquo;s incredible skills at not getting caught have been spotted by the devilish (possibly actually demonic) captain of the school&rsquo;s embryonic American style football team, and when Sena asks to be the teams manager, he gets  thrust onto the field as a running back instead!  But there are two BIG catches: first, to keep the identity of their new &ldquo;star&rdquo; player an absolute secret, Yoichi makes Sena wear an opaque visor on his helmet and gives him the alias of &ldquo;Eyeshield 21.&rdquo;  And the second catch?  Well, in order to hit his fastest &ldquo;speed of light&rdquo; running mode, Sena usually has to be absolutely terrified. Not that THAT will be a problem with the monstrous players that he&rsquo;ll soon find himself running from!  The insanity hits the streets when the feet meet the cleats in EYESHIELD 21! <br><br>n(Source: Sentai Filmworks)",15,"American Football, Bullying, Coming of Age, Delinquents, Male Protagonist, Primarily Male Cast, School, School Club, Shounen, Slapstick, Tragedy"
ハチミツとクローバー,"Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears.n<br><br>n(Source: Anime News Network)",16,"Chibi, College, Coming of Age, Drawing, Heterosexual, Josei, Kuudere, Love Triangle, Male Protagonist, Primarily Adult Cast, Primarily Male Cast, Unrequited Love"
ハングリーハート Wild Striker,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves.n<br><br>n(Source: Anime News Network)",17,"Football, Primarily Male Cast, School Club, Shounen"
頭文字〈イニシャル〉D FOURTH STAGE,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.",18,"Cars, CGI, Heterosexual, Male Protagonist, Primarily Adult Cast, Primarily Male Cast, Rape, Rural, Seinen"
MONSTER,"Dr. Kenzo Tenma is a renowned Japanese brain surgeon working at a leading hospital in Germany. One night, Dr. Tenma risks his reputation and career to save the life of a critically wounded young boy over that of the town mayor who had been planning to support the hospital financially. A string of mysterious murders begin to occur soon after the operation, and Dr. Tenma emerges as the primary suspect despite no incriminating evidence. n<br><br>nA doctor is taught to believe that all life is equal; however, when another series of murders occur in the surgeon's vicinity, Dr. Tenma's beliefs are shaken as his actions that night are shown to have much broader consequences than he could have imagined. Leaving behind his life as a surgeon he embarks on a journey across the country to unravel the mystery of the boy he saved.",19,"Adoption, Amnesia, Conspiracy, Crime, Crossdressing, Detective, Dissociative Identities, Ensemble Cast, Episodic, Foreign, Fugitive, Gore, Guns, Historical, Male Protagonist, Medicine, Memory Manipulation, Noir, Nudity, Orphan, Philosophy, Police, Politics, Primarily Adult Cast, Primarily Male Cast, Rape, Revenge, Seinen, Suicide, Time Skip, Torture, Tragedy, Travel, Twins, Urban"
NARUTO -ナルト-,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. <br><br>nShunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. <br><br>n(Source: MAL Rewrite)",20,"Anachronism, Assassins, Bullying, Coming of Age, Cultivation, Demons, Ensemble Cast, Estranged Family, Femboy, Found Family, Gender Bending, Heterosexual, Kaiju, Love Triangle, Male Protagonist, Martial Arts, Ninja, Nudity, Orphan, Primarily Child Cast, Revenge, School, Shapeshifting, Shounen, Slapstick, Super Power, Travel, Unrequited Love"
