genre + tag,recommendation_phrase
액션 + 우주,우주를 무대로 펼쳐지는 숨막히는 액션
액션 + 범죄,법과 질서의 경계에서 펼쳐지는 치열한 전투
액션 + 에피소드,매회 새로운 모험과 흥미진진한 액션
액션 + 앙상블 캐스트,다양한 캐릭터들이 펼치는 화려한 액션의 향연
액션 + 주로 성인 캐스트,성숙한 캐릭터들의 냉철하고 강력한 액션
액션 + 비극,운명과 맞서 싸우는 영웅들의 처절한 액션
액션 + 여행,세계를 누비며 펼쳐지는 놀라운 모험과 액션
액션 + 누아르,어둠 속에서 빛나는 날카로운 액션
액션 + 총,총성이 울려 퍼지는 긴장감 넘치는 전투
액션 + 남성 주인공,용감한 남자 주인공의 열혈 액션 활약
액션 + 사이버펑크,미래 도시를 배경으로 한 하이테크 액션
액션 + 철학,주먹과 함께 날아오는 심오한 질문들
액션 + 비혈연 가족,피보다 진한 유대로 맺어진 팀의 활약
액션 + 테러,테러와의 전쟁에서 펼쳐지는 치열한 액션
액션 + 톰보이,여자답지 않은 매력의 주인공이 펼치는 강력한 액션
액션 + 무술,숨막히는 격투와 화려한 무술의 향연
액션 + 사이보그,인간과 기계의 경계에서 펼쳐지는 초인적인 액션
액션 + 기억 상실,잃어버린 기억을 찾아가는 미스터리한 액션
액션 + 카우보이,황야를 누비는 총잡이들의 거친 모험
액션 + 안티히어로,선과 악의 경계에 선 주인공의 아슬아슬한 활약
액션 + 도박,운명을 건 도박과 함께 펼쳐지는 짜릿한 액션
액션 + 야쿠자,일본 폭력조직의 음지에서 펼쳐지는 치열한 싸움
액션 + 이성애자,남녀 간의 로맨스와 함께 펼쳐지는 화끈한 액션
액션 + 약물,마약과의 전쟁 속 펼쳐지는 위험한 모험
액션 + 경찰,정의를 위해 싸우는 경찰들의 활약상
액션 + 여성 주인공,강인한 여성 주인공이 이끄는 파워풀한 액션
액션 + 사교도,비밀 결사단의 음모와 맞서는 치열한 액션
액션 + 갈색 피부,이국적인 매력의 주인공이 펼치는 화려한 액션
액션 + 누드,관능미와 액션이 어우러진 파격적인 모험
액션 + 서커스,서커스단의 화려한 기예와 숨겨진 액션
액션 + 도망자,추적자들을 피해 도망치는 긴박한 액션
액션 + 사막,끝없는 사막을 배경으로 한 극한의 액션
액션 + 스팀펑크,증기기관과 톱니바퀴가 춤추는 레트로 액션
액션 + 포스트 아포칼립스,종말 이후의 세계에서 펼쳐지는 생존 액션
액션 + 소년,어린 영웅의 성장과 함께하는 모험 액션
액션 + 쌍둥이,쌍둥이 주인공들이 펼치는 환상의 콤비 플레이
액션 + 외계인,미지의 외계 생명체와 맞서는 인류의 사투
액션 + 몸개그,웃음과 액션이 어우러진 유쾌한 모험
액션 + 종교,신념을 지키기 위한 치열한 영적 전투
액션 + 신체 변형,변화하는 육체와 함께 진화하는 액션
액션 + 마법,마법과 검이 어우러진 판타지 액션
액션 + 도시 판타지,현대 도시를 배경으로 한 신비로운 액션
액션 + 음모,거대한 음모에 맞서는 치밀한 두뇌 싸움과 액션
액션 + 마녀,마력을 다루는 마녀들의 화려한 액션
액션 + 쿨데레,차가운 외모 속 뜨거운 열정의 액션
액션 + 바,술집을 배경으로 펼쳐지는 거친 싸움
액션 + 창술,창을 휘두르는 화려한 무술 액션
액션 + 검술,칼날이 춤추는 우아하고 치명적인 액션
액션 + 미식축구,그리드아이언 위의 열정적인 몸싸움
액션 + 학교,교실과 운동장을 누비는 청춘 액션
액션 + 주로 남성 캐스트,남자들의 뜨거운 우정과 라이벌 관계
액션 + 학교 클럽,방과 후 활동이 펼치는 예상 밖의 모험
액션 + 성장,액션으로 단련되는 주인공의 성장기
액션 + 괴롭힘,약자를 위해 싸우는 정의로운 액션
액션 + 불량배,불량 학생들의 거칠지만 뜨거운 우정
액션 + 여성,여성들이 주도하는 강력한 걸크러시 액션
액션 + 삼각관계,사랑과 우정 사이 아슬아슬한 액션
액션 + 짝사랑,고백하지 못한 마음과 함께 커지는 용기
액션 + 그림,붓 끝으로 그려내는 생동감 넘치는 액션
액션 + 귀여운 아이,어린이의 순수함과 용기가 만드는 모험
액션 + 축구,그라운드를 누비는 열정적인 스포츠 액션
액션 + 자동차,질주본능을 자극하는 카 체이싱 액션
액션 + 시골,한적한 시골마을의 숨겨진 액션과 모험
액션 + 청년,젊음의 패기로 가득한 열정적인 액션
액션 + 3D,입체감 넘치는 화려한 3D 액션의 향연
액션 + 탐정,수수께끼를 파헤치는 지적 액션 스릴러
액션 + 복수,분노에 불타는 복수자의 처절한 액션
액션 + 기억 조작,조작된 기억 속에서 펼쳐지는 미스터리 액션
액션 + 입양,새로운 가족과 함께하는 따뜻한 모험
액션 + 외국,이국적인 배경에서 펼쳐지는 글로벌 액션
액션 + 의학,생명을 구하는 치열한 의료 액션
액션 + 정치,권력의 중심에서 펼쳐지는 정치 액션
액션 + 다중인격,여러 인격이 만들어내는 복잡한 액션
액션 + 역사,과거를 배경으로 한 장대한 역사 액션
액션 + 고아,가족을 찾아 떠나는 고아의 모험
액션 + 시간 도약,시간을 넘나드는 흥미진진한 액션
액션 + 자살,삶과 죽음의 경계에서 펼쳐지는 극한의 액션
액션 + 도시,빌딩 숲을 누비는 도시형 액션
액션 + 고문,극한의 고통 속에서 피어나는 인간의 의지
액션 + 여장남장,성별을 넘나드는 파격적인 액션
액션 + 고어물,선정적인 폭력과 액션의 극단적 조화
액션 + 닌자,그림자 속에서 펼쳐지는 은밀한 액션
액션 + 초능력,초자연적 능력을 지닌 히어로의 활약
"액션 + 수련,수행",고된 훈련을 통해 단련되는 강인한 정신과 육체
액션 + 시대착오,시대를 초월한 영웅의 유쾌한 모험
액션 + 어린이 주인공,어린 영웅의 놀라운 활약과 성장
액션 + 형태 변환,변신을 통해 펼쳐지는 다채로운 액션
액션 + 괴수,거대 괴물과 맞서 싸우는 인간의 투쟁
액션 + 악마,어둠의 세력에 맞서는 치열한 영혼의 전쟁
액션 + 서먹한 가족,가족 간의 갈등을 뛰어넘는 모험
액션 + 젠더 벤딩,성 고정관념을 깨는 파격적인 액션
액션 + 여장남자,여장한 남자의 예상치 못한 활약
액션 + 암살자,그림자 속에서 움직이는 치명적인 암살자
액션 + 해적,대양을 누비는 해적들의 통쾌한 모험
액션 + 배,바다를 무대로 펼쳐지는 해상 액션
액션 + 무로맨틱,로맨스 없는 순수한 액션의 향연
액션 + 노예제도,자유를 향한 노예들의 처절한 투쟁
액션 + 전쟁,전장을 누비는 군인들의 처절한 사투
액션 + 디스토피아,암울한 미래 사회에서 펼쳐지는 저항
액션 + 신,신들의 세계에서 펼쳐지는 장대한 서사시
액션 + 감옥,철창 안에서 펼쳐지는 긴장감 넘치는 액션
액션 + 잃어버린 문명,고대 문명의 비밀을 찾아 떠나는 모험
액션 + 음식,요리와 액션이 만나는 독특한 모험
액션 + 사무라이,무사도 정신으로 무장한 사무라이의 활약
액션 + 몬스터 소년,괴물의 힘을 지닌 소년의 특별한 모험
액션 + 의인화,의인화된 캐릭터들의 유쾌한 액션
액션 + 변신,변신을 통해 강해지는 히어로의 액션
액션 + 인공지능,AI와 인간의 경계에서 펼쳐지는 미래 액션
액션 + 로봇,거대 로봇을 조종하는 파일럿들의 활약
액션 + 동물,동물들과 함께하는 자연 속 모험
액션 + 해골,언데드의 세계에서 펼쳐지는 으스스한 액션
액션 + 용,전설의 용과 맞서는 영웅들의 대활약
액션 + 결혼,신혼부부의 예상치 못한 액션 스릴러
액션 + 첩보,은밀한 임무 수행하는 스파이의 활약
액션 + 몬스터 소녀,괴물 소녀들의 귀엽고도 강력한 액션
액션 + 요정,작지만 강한 요정들의 환상적인 모험
액션 + 기차,레일 위에서 펼쳐지는 속도감 넘치는 액션
액션 + 클론,복제인간들의 정체성을 찾아가는 여정
액션 + 배틀 로얄,살아남기 위한 처절한 생존 게임
액션 + 인어,바다와 육지를 오가는 인어들의 모험
액션 + 시간 조작,시간을 주무르는 능력자의 아슬아슬한 액션
액션 + 천사,천상의 전사들이 펼치는 성스러운 전투
액션 + 뮤지컬,노래와 춤이 어우러진 화려한 액션
액션 + LGBTQ+ 테마,다양성을 품은 주인공들의 당당한 활약
액션 + 몸 바꾸기,서로의 몸으로 펼치는 예상 밖의 액션
액션 + 좀비,살아있는 죽은 자들과의 끝없는 전투
액션 + 연기,무대와 현실을 넘나드는 배우들의 액션
액션 + 트랜스젠더,성 정체성을 초월한 주인공의 강력한 액션
액션 + 테니스,코트 위의 치열한 랠리와 드라마
액션 + 권투,링 위에서 펼쳐지는 주먹과 의지의 대결
액션 + 패러디,유명 작품을 재치있게 패러디한 코믹 액션
액션 + 츤데레,차가운 겉모습 속 뜨거운 마음의 액션
액션 + 주로 청소년 캐스트,열정 넘치는 청춘들의 뜨거운 액션
액션 + 집사,우아한 집사의 숨겨진 강력한 능력
액션 + 서바이벌,극한 상황에서 살아남기 위한 처절한 몸부림
액션 + 군대,군인들의 강인한 정신력과 육체적 단련
액션 + 갱단,거리의 법칙으로 살아가는 갱들의 난투극
액션 + 마피아,주인공의 눈으로 직접 보는 듯한 생생한 액션
액션 + 전파계,어둠의 세계를 지배하는 조직의 피 튀기는 싸움
액션 + 장애,전파를 타고 펼쳐지는 초현실적 액션
액션 + 환생,한계를 뛰어넘는 장애인 주인공의 투혼
액션 + 뱀파이어,전생의 기억을 간직한 채 펼치는 운명적 액션
액션 + 수녀,밤의 군주들이 펼치는 화려한 액션
액션 + 메타적,성스러운 옷 아래 숨겨진 강력한 능력
액션 + 초현실 코미디,애니메이션의 틀을 깨는 혁신적인 액션
액션 + 이세계,현실을 초월한 웃음과 액션의 조화
액션 + 교육,다른 세계에서 펼쳐지는 판타지 액션
액션 + 정신 성욕,배움과 성장이 함께하는 지적인 액션
액션 + 슈퍼 로봇,마음속 욕망이 폭발하는 심리 액션
액션 + 신화,거대 로봇을 조종하는 파일럿들의 우주 전투
액션 + 양성애,고대 신화 속 영웅들의 장대한 모험
액션 + 특촬,다양한 사랑을 품은 주인공의 열정적 액션
액션 + BL,특수 촬영 기법으로 구현된 리얼한 액션
액션 + 방대한 공포,소년들의 섬세한 감정과 강렬한 액션
액션 + 활쏘기,끝없는 공포 속에서 살아남기 위한 사투
액션 + 재활,정확한 화살로 적을 제압하는 궁술 액션
액션 + 가상 세계,상처를 극복하고 다시 일어서는 투혼
액션 + 비디오 게임,현실과 가상을 넘나드는 사이버 액션
액션 + 던전,게임 속 세상에서 펼쳐지는 리얼 액션
액션 + 주로 여성 캐스트,미로같은 던전 속 모험과 전투
액션 + 여성 하렘,강인한 여성들이 주도하는 걸크러시 액션
액션 + 리얼 로봇,매력적인 여성들에 둘러싸인 액션 판타지
액션 + 대리전,현실적인 로봇 공학을 바탕으로 한 메카 액션
액션 + 키메라,타인을 위해 싸우는 용병들의 이야기
액션 + 밴드,인간과 동물의 유전자가 융합된 존재들의 액션
액션 + 록 음악,음악과 액션이 어우러진 록 스타의 모험
액션 + 야구,강렬한 기타 리프와 함께 펼쳐지는 액션
액션 + 갸루,다이아몬드를 누비는 열정적인 스포츠 액션
액션 + 힙합 음악,비트에 맞춰 펼쳐지는 스트릿 액션
액션 + 수영,물살을 가르는 역동적인 수중 액션
액션 + 나이 차이,세대를 초월한 파트너의 예상 밖 활약
액션 + 소녀,귀여운 소녀들의 반전 매력 액션
액션 + 고양이 귀,수집 벨 귀를 가진 주인공의 애교 섞인 액션
액션 + 아가씨,우아한 아가씨의 숨겨진 무술 실력
액션 + 히키코모리,은둔형 외톨이의 예상치 못한 능력
액션 + 가족 생활,평범한 가정에서 시작되는 놀라운 모험
액션 + 귀여운 여자아이들,사랑스러운 소녀들의 용감한 활약
액션 + 교사,평범한 교사의 숨겨진 액션 히어로 면모
액션 + 힐링물,따뜻한 위로와 함께하는 부드러운 액션
액션 + 항공,하늘을 누비는 조종사들의 아찔한 비행 액션
액션 + 직장,회사원의 일상을 뒤흔드는 오피스 액션
액션 + 평행 세계,다른 차원을 오가는 다중 우주 액션
액션 + 계급 투쟁,신분 제도에 맞서는 혁명의 불꽃
액션 + 동물 귀,동물의 귀를 가진 주인공들의 귀여운 액션
액션 + 백합,소녀들 간의 섬세한 감정과 강인한 의지
액션 + 얀데레,광기 어린 사랑으로 뭉친 소름 돋는 액션
액션 + 환경,지구를 지키는 환경 영웅들의 분투
액션 + 우주 여행,은하를 누비는 우주 탐험가들의 모험
액션 + 네토라레,배신과 질투가 뒤섞인 복잡한 인간 드라마
액션 + 크로스오버,여러 작품의 캐릭터가 만나는 꿈의 대전
액션 + 농업,농촌을 배경으로 한 의외의 액션 드라마
액션 + 무협,무림을 주름잡는 협객들의 화려한 무공 대결
액션 + 무녀,신비한 무당의 영적 힘으로 펼치는 액션
액션 + 오토바이,질주 본능을 자극하는 바이크 액션
액션 + 동화,전래 동화 속 숨겨진 액션 판타지
액션 + 남성 하렘,매력적인 남성들에 둘러싸인 액션 로맨스
액션 + 메이드,우아한 메이드의 숨겨진 전투력
액션 + 춤,춤과 격투기를 결합한 독특한 액션
액션 + 노숙자,거리의 영웅들이 펼치는 도시 액션
